OrderNo, TotalOrderDiscount ,OrderTime,DeliveryTimeslot,OrderDate,DeliveryDate
609222391,-1.75,10.22 AM,Between 10:00 am and 2:00 pm,4/5/2015,4/8/2015
41686200,-18.84,12.54 PM,Between 2:00 pm and 6:00 pm,4/5/2015,4/9/2015
902986935,-20.04,2.26 PM,Between 10:00 am and 2:00 pm,4/6/2015,4/9/2015
181204422,-18.29,2.2 PM,Between 10:00 am and 2:00 pm,4/5/2015,4/8/2015
2780893,-8.15,5.03 PM,Between 10:00 am and 2:00 pm,4/5/2015,4/8/2015
729569168,-16.59,7.01 PM,Between 10:00 am and 2:00 pm,4/5/2015,4/8/2015
609426620,-50.94,9.13 PM,Between 6:00 pm and 10:00 pm,4/5/2015,4/11/2015
123849512,-0.7,8.48 PM,Between 6:00 pm and 10:00 pm,4/5/2015,4/14/2015
407404923,-2,8.5 PM,Between 10:00 am and 2:00 pm,4/6/2015,4/10/2015
90498335,-30.29,10.56 PM,Between 10:00 am and 2:00 pm,4/5/2015,4/9/2015
435878136,-11.9,3.48 PM,Between 6:00 pm and 10:00 pm,4/13/2015,4/15/2015
609968357,-365,1.17 AM,,4/6/2015,
959309629,    ,12.25 PM,Between 10:00 am and 2:00 pm,4/6/2015,4/10/2015
469423718,-3.85,5.49 PM,Between 6:00 pm and 10:00 pm,4/6/2015,4/11/2015
488122067,-7.49,6.32 PM,Between 10:00 am and 2:00 pm,4/6/2015,4/11/2015
662951932,-10.2,1.36 PM,Between 10:00 am and 2:00 pm,5/6/2015,5/8/2015
586464232,-12.99,11.13 PM,Between 10:00 am and 2:00 pm,4/7/2015,4/10/2015
339944258,-3.21,10.22 AM,Between 10:00 am and 2:00 pm,4/7/2015,4/9/2015
447185072,-25.74,11.41 AM,Between 2:00 pm and 6:00 pm,4/7/2015,4/13/2015
906028719,-14.54,12.55 PM,Between 2:00 pm and 6:00 pm,4/7/2015,4/11/2015
96896680,-39.92,1.11 PM,Between 10:00 am and 2:00 pm,4/7/2015,4/9/2015
335039905,-7.49,9.13 PM,Between 2:00 pm and 6:00 pm,4/17/2015,4/21/2015
520667182,-24.6,5.4 PM,Between 2:00 pm and 6:00 pm,4/7/2015,4/9/2015
610450862,-8.44,6.25 PM,Between 2:00 pm and 6:00 pm,4/7/2015,4/9/2015
172240459,-2.1,6.47 PM,Between 2:00 pm and 6:00 pm,4/7/2015,4/9/2015
29783047,-2.62,6.51 PM,Between 2:00 pm and 6:00 pm,4/7/2015,4/14/2015
873692753,    ,9.5 AM,Between 6:00 pm and 10:00 pm,4/8/2015,4/9/2015
385978531,-1.75,10.46 PM,Between 2:00 pm and 6:00 pm,4/7/2015,4/9/2015
870295636,-9.44,10.08 PM,Between 2:00 pm and 6:00 pm,4/7/2015,4/14/2015
802667074,-8.7,11.44 PM,Between 10:00 am and 2:00 pm,4/7/2015,4/10/2015
730245430,-5.55,11.51 PM,Between 10:00 am and 2:00 pm,4/7/2015,4/12/2015
345408539,-8.39,10.31 PM,Between 2:00 pm and 6:00 pm,4/10/2015,4/13/2015
589977716,-6.65,2.4 PM,Between 10:00 am and 2:00 pm,4/9/2015,4/14/2015
470039105,-1.09,6.17 PM,Between 2:00 pm and 6:00 pm,4/8/2015,4/13/2015
852927712,-23.29,9.56 PM,Between 2:00 pm and 6:00 pm,4/8/2015,4/13/2015
220914659,-10.5,2.04 PM,Between 2:00 pm and 6:00 pm,5/21/2015,5/22/2015
337063401,    ,11.51 PM,Between 2:00 pm and 6:00 pm,4/8/2015,4/13/2015
842464601,-7.49,9.12 AM,Between 2:00 pm and 6:00 pm,4/11/2015,4/14/2015
77654999,-9.75,2.14 PM,Between 6:00 pm and 10:00 pm,4/10/2015,4/14/2015
922767116,-10.3,4.31 PM,Between 10:00 am and 2:00 pm,4/10/2015,4/14/2015
802997832,-7.49,5.37 PM,Between 10:00 am and 2:00 pm,4/10/2015,4/14/2015
467763692,-7.6,10.23 AM,Between 2:00 pm and 6:00 pm,4/11/2015,4/14/2015
855861356,-15.58,10.14 AM,Between 6:00 pm and 10:00 pm,4/11/2015,4/14/2015
762202408,-7.49,9.39 PM,Between 2:00 pm and 6:00 pm,4/15/2015,4/18/2015
649210995,-7.49,10.43 AM,Between 2:00 pm and 6:00 pm,4/11/2015,4/14/2015
142374824,-6.75,11.22 AM,Between 6:00 pm and 10:00 pm,4/11/2015,4/13/2015
986581645,-21.74,10.57 AM,Between 2:00 pm and 6:00 pm,4/11/2015,4/15/2015
235003526,-2.8,10.57 AM,Between 10:00 am and 2:00 pm,4/11/2015,4/14/2015
259986057,-8.04,11.2 AM,Between 6:00 pm and 10:00 pm,4/11/2015,4/14/2015
306194772,    ,11.01 AM,Between 6:00 pm and 10:00 pm,4/11/2015,4/13/2015
374383447,-0.8,9.16 AM,Between 6:00 pm and 10:00 pm,4/19/2015,4/24/2015
755956923,-17.64,12.11 AM,Between 2:00 pm and 6:00 pm,4/30/2015,5/1/2015
268913784,    ,11.22 AM,Between 2:00 pm and 6:00 pm,4/30/2015,5/4/2015
271030324,-16.45,11.43 AM,Between 10:00 am and 2:00 pm,4/30/2015,5/4/2015
196117717,-21.15,12.45 PM,Between 2:00 pm and 6:00 pm,4/30/2015,5/4/2015
984514878,-83.69,1.04 PM,Between 10:00 am and 2:00 pm,4/30/2015,5/3/2015
911284,    ,10.59 AM,Between 10:00 am and 2:00 pm,5/1/2015,5/4/2015
389495217,-13.64,5.4 PM,Between 2:00 pm and 6:00 pm,4/30/2015,5/4/2015
526803428,-2.2,6:00 PM,Between 2:00 pm and 6:00 pm,4/30/2015,5/6/2015
241916023,-8.85,9.43 PM,Between 2:00 pm and 6:00 pm,5/1/2015,5/4/2015
984621546,-16.39,8.21 PM,Between 2:00 pm and 6:00 pm,4/30/2015,5/2/2015
182432352,-37.14,1.02 AM,Between 10:00 am and 2:00 pm,6/11/2015,6/12/2015
828555644,-2,8.45 PM,Between 10:00 am and 2:00 pm,4/30/2015,5/4/2015
146207246,-0.15,9.42 PM,Between 6:00 pm and 10:00 pm,4/30/2015,5/4/2015
231968305,-33.29,9.48 PM,Between 2:00 pm and 6:00 pm,4/30/2015,5/2/2015
784507388,-189,10.18 PM,Between 10:00 am and 2:00 pm,4/30/2015,5/4/2015
64378438,-19.54,10.51 PM,Between 10:00 am and 2:00 pm,4/30/2015,5/4/2015
736146698,-7.85,11:00 PM,Between 10:00 am and 2:00 pm,4/30/2015,5/5/2015
360524481,-28.19,11.05 AM,Between 10:00 am and 2:00 pm,5/3/2015,5/5/2015
381798484,-3.05,10.08 PM,Between 10:00 am and 2:00 pm,6/10/2015,6/12/2015
991748168,    ,10.26 PM,Between 2:00 pm and 6:00 pm,4/30/2015,5/2/2015
591291109,-9.49,11.4 PM,Between 2:00 pm and 6:00 pm,4/30/2015,5/8/2015
745669885,-8.9,2.24 AM,Between 6:00 pm and 10:00 pm,5/3/2015,5/5/2015
805351840,-16.48,7.52 PM,Between 10:00 am and 2:00 pm,5/1/2015,5/4/2015
190725000,-38.89,1.13 AM,Between 10:00 am and 2:00 pm,5/1/2015,5/4/2015
727596831,-9.2,12.36 AM,Between 10:00 am and 2:00 pm,5/1/2015,5/2/2015
888705590,-7,1.38 AM,Between 10:00 am and 2:00 pm,5/1/2015,5/3/2015
929725007,-7.7,4.29 AM,Between 6:00 pm and 10:00 pm,5/1/2015,5/2/2015
646286302,-7.49,7.38 AM,Between 10:00 am and 2:00 pm,5/1/2015,5/2/2015
588217131,-2.55,8.52 AM,Between 10:00 am and 2:00 pm,5/18/2015,5/19/2015
773237004,-33.34,9.4 AM,Between 10:00 am and 2:00 pm,5/1/2015,5/2/2015
455607475,-5.25,10.13 AM,Between 10:00 am and 2:00 pm,5/1/2015,5/2/2015
180752373,-9.13,8.28 AM,Between 10:00 am and 2:00 pm,5/5/2015,5/6/2015
642488541,-23.13,11.12 AM,Between 2:00 pm and 6:00 pm,5/1/2015,5/5/2015
877219518,-6.32,11.45 AM,Between 10:00 am and 2:00 pm,5/1/2015,5/4/2015
51814280,-17.78,1.38 PM,Between 10:00 am and 2:00 pm,5/1/2015,5/6/2015
383567163,-79.55,12.35 PM,Between 6:00 pm and 5:59 pm (next day),5/1/2015,5/4/2015
429269493,-21.4,1.11 PM,Between 10:00 am and 2:00 pm,5/1/2015,5/4/2015
719258558,-7.49,12.24 PM,Between 6:00 pm and 10:00 pm,5/1/2015,5/5/2015
564116461,-13.45,5.35 AM,Between 2:00 pm and 6:00 pm,5/2/2015,5/4/2015
122497264,-4,1.36 PM,Between 2:00 pm and 6:00 pm,5/1/2015,5/2/2015
392485659,-0.9,1.48 PM,,5/1/2015,
573961077,    ,1.52 PM,,5/1/2015,
484767466,-1.55,2.05 PM,Between 6:00 pm and 10:00 pm,5/1/2015,5/4/2015
149419632,-13.49,3.02 PM,Between 10:00 am and 2:00 pm,5/1/2015,5/4/2015
814436997,-9.74,5.33 PM,Between 6:00 pm and 10:00 pm,5/1/2015,5/4/2015
244202241,-4,3.22 PM,Between 2:00 pm and 6:00 pm,5/1/2015,5/4/2015
626360269,    ,3.49 PM,Between 10:00 am and 2:00 pm,5/1/2015,5/4/2015
707001330,-3.46,3.36 PM,Between 6:00 pm and 5:59 pm (next day),5/1/2015,5/4/2015
579280065,-7.49,6.59 PM,Between 6:00 pm and 10:00 pm,5/1/2015,5/4/2015
537124369,-15.27,3.53 PM,Between 10:00 am and 2:00 pm,5/1/2015,5/6/2015
802454723,-2.95,11.04 AM,Between 2:00 pm and 6:00 pm,5/6/2015,5/7/2015
508635137,-9.9,4.06 PM,Between 10:00 am and 2:00 pm,5/1/2015,5/4/2015
673744069,-1.15,4.35 PM,Between 2:00 pm and 6:00 pm,5/1/2015,5/4/2015
557064900,-11.25,8.19 PM,Between 2:00 pm and 6:00 pm,5/1/2015,5/4/2015
924486501,-16.85,4.47 PM,Between 2:00 pm and 6:00 pm,5/15/2015,5/16/2015
607030663,-8.23,4.36 PM,Between 10:00 am and 2:00 pm,5/1/2015,5/4/2015
113664598,-15.69,5.07 PM,Between 2:00 pm and 6:00 pm,5/1/2015,5/2/2015
790375083,-9.74,9.27 AM,Between 10:00 am and 2:00 pm,5/8/2015,5/9/2015
464143506,-10.44,11.02 AM,Between 6:00 pm and 10:00 pm,4/10/2015,4/14/2015
686728523,    ,10.35 AM,Between 10:00 am and 2:00 pm,4/10/2015,4/17/2015
906343711,-11.7,3.49 PM,Between 10:00 am and 2:00 pm,6/15/2015,6/17/2015
534790814,-25.33,1.47 PM,Between 2:00 pm and 6:00 pm,4/10/2015,4/14/2015
965816403,-7.94,9.47 PM,Between 2:00 pm and 6:00 pm,5/27/2015,5/29/2015
218687326,-6.4,8.37 PM,Between 10:00 am and 2:00 pm,4/10/2015,4/13/2015
211971933,-2.9,8.4 PM,Between 6:00 pm and 10:00 pm,4/10/2015,4/14/2015
426061875,-11.09,10.31 AM,Between 2:00 pm and 6:00 pm,4/11/2015,4/14/2015
469687837,-19.09,10.43 AM,Between 6:00 pm and 10:00 pm,4/11/2015,4/14/2015
952496146,    ,10.34 AM,Between 6:00 pm and 10:00 pm,4/11/2015,4/14/2015
126586013,-12.21,11.49 AM,Between 6:00 pm and 5:59 pm (next day),4/11/2015,4/14/2015
661516394,-11.5,11.5 AM,Between 6:00 pm and 10:00 pm,4/11/2015,4/17/2015
5538062,-3.45,10.45 AM,Between 10:00 am and 2:00 pm,4/12/2015,4/15/2015
888410014,-7.49,7.03 PM,Between 10:00 am and 2:00 pm,4/13/2015,4/16/2015
242079586,-19.89,5.48 PM,Between 6:00 pm and 10:00 pm,4/12/2015,4/15/2015
501248022,-18.7,9.45 PM,Between 6:00 pm and 10:00 pm,4/12/2015,4/14/2015
833541779,-30.56,11.43 PM,Between 6:00 pm and 10:00 pm,4/12/2015,4/16/2015
342918322,-1.4,2:00 PM,Between 10:00 am and 2:00 pm,4/14/2015,4/16/2015
123051970,-45,8:00 AM,Between 10:00 am and 2:00 pm,4/13/2015,4/17/2015
602376845,-6.5,5.06 PM,Between 10:00 am and 2:00 pm,4/14/2015,4/17/2015
737588895,-13.39,2.12 PM,Between 2:00 pm and 6:00 pm,4/13/2015,4/17/2015
537320923,-2.28,2.56 PM,Between 2:00 pm and 6:00 pm,4/14/2015,4/16/2015
403775565,-5.91,3.09 PM,Between 10:00 am and 2:00 pm,4/13/2015,4/16/2015
511626898,    ,3.17 PM,Between 10:00 am and 2:00 pm,4/13/2015,4/16/2015
892123399,    ,7.31 PM,Between 10:00 am and 2:00 pm,4/13/2015,4/16/2015
880380136,-57.75,8.28 PM,Between 10:00 am and 2:00 pm,4/14/2015,4/20/2015
861532180,    ,8.04 PM,,4/13/2015,
269954079,    ,8.4 PM,Between 6:00 pm and 10:00 pm,4/13/2015,4/18/2015
133472833,-22.49,10.38 PM,Between 10:00 am and 2:00 pm,4/13/2015,4/18/2015
235819572,    ,10.08 PM,,4/13/2015,
419647742,-0.7,8.26 AM,,4/14/2015,
619301392,-9.82,9.29 AM,Between 2:00 pm and 6:00 pm,4/14/2015,4/17/2015
513921693,-0.25,1.02 PM,Between 10:00 am and 2:00 pm,4/14/2015,4/16/2015
704850767,-8.54,1.04 PM,Between 10:00 am and 2:00 pm,4/14/2015,4/16/2015
155600404,-17.64,10.01 AM,Between 10:00 am and 2:00 pm,7/1/2015,7/2/2015
26847312,-19.49,3.32 PM,Between 6:00 pm and 10:00 pm,4/20/2015,4/24/2015
813840717,-32.49,2.18 PM,Between 6:00 pm and 10:00 pm,4/14/2015,4/15/2015
353111259,-1.68,2.11 PM,Between 10:00 am and 2:00 pm,4/14/2015,4/20/2015
211882617,    ,2.28 PM,Between 2:00 pm and 6:00 pm,4/14/2015,4/16/2015
267248802,-9.54,10.52 AM,Between 2:00 pm and 6:00 pm,5/7/2015,5/9/2015
461853408,-10,3.09 PM,Between 10:00 am and 2:00 pm,4/14/2015,4/16/2015
80436425,-30.19,3.21 PM,Between 10:00 am and 2:00 pm,4/14/2015,4/20/2015
752072980,-17.79,3.2 PM,Between 2:00 pm and 6:00 pm,4/14/2015,4/16/2015
515637010,    ,4.01 PM,Between 10:00 am and 2:00 pm,4/14/2015,4/20/2015
660699235,-7.22,4.27 PM,Between 2:00 pm and 6:00 pm,4/14/2015,4/16/2015
352207359,-16.89,10.1 AM,Between 2:00 pm and 6:00 pm,4/15/2015,4/16/2015
976821207,-11.34,1.26 PM,Between 10:00 am and 2:00 pm,4/19/2015,4/22/2015
53554820,    ,9.35 PM,Between 6:00 pm and 10:00 pm,4/14/2015,4/17/2015
563551535,-9.34,11.16 PM,Between 6:00 pm and 10:00 pm,4/14/2015,4/17/2015
669562454,-11.32,8:00 AM,Between 2:00 pm and 6:00 pm,4/23/2015,4/24/2015
692422301,-4.05,10.22 PM,Between 10:00 am and 2:00 pm,4/14/2015,4/18/2015
70401518,    ,10.38 PM,Between 10:00 am and 2:00 pm,4/14/2015,4/20/2015
239755235,-11.94,11.45 PM,Between 10:00 am and 2:00 pm,6/10/2015,6/15/2015
814633649,-17.91,4.57 AM,Between 6:00 pm and 5:59 pm (next day),4/15/2015,4/17/2015
322985844,    ,9.24 AM,Between 2:00 pm and 6:00 pm,4/15/2015,4/17/2015
57746717,-1.5,10.45 AM,Between 10:00 am and 2:00 pm,4/15/2015,4/18/2015
913148650,-12.99,11.41 AM,Between 10:00 am and 2:00 pm,4/15/2015,4/20/2015
396554029,-3.78,12.43 PM,Between 6:00 pm and 10:00 pm,5/4/2015,5/5/2015
865569311,    ,12.04 PM,Between 2:00 pm and 6:00 pm,4/15/2015,4/23/2015
679898725,-24.61,12.38 PM,Between 6:00 pm and 10:00 pm,4/15/2015,4/20/2015
510068361,-2.85,12.41 PM,Between 2:00 pm and 6:00 pm,4/15/2015,4/18/2015
432549446,-2.59,3.12 PM,Between 2:00 pm and 6:00 pm,4/28/2015,5/5/2015
312572760,-8.89,1.07 PM,Between 10:00 am and 2:00 pm,4/21/2015,4/23/2015
839227470,-4.6,10.41 AM,Between 2:00 pm and 6:00 pm,4/17/2015,4/20/2015
70837212,    ,5.06 PM,Between 2:00 pm and 6:00 pm,4/15/2015,4/18/2015
474053836,-11.34,5.27 PM,Between 2:00 pm and 6:00 pm,4/15/2015,4/18/2015
341988902,-15.14,5.19 PM,Between 6:00 pm and 10:00 pm,4/15/2015,4/16/2015
459583622,-2.95,5.21 PM,Between 6:00 pm and 10:00 pm,4/15/2015,4/17/2015
626797957,-8.55,5.02 PM,Between 2:00 pm and 6:00 pm,4/18/2015,4/21/2015
663424717,-12.49,12.08 PM,Between 6:00 pm and 10:00 pm,7/1/2015,7/4/2015
829130008,-13.44,11.55 PM,Between 2:00 pm and 6:00 pm,5/27/2015,6/2/2015
410594265,-14.83,8.46 PM,Between 10:00 am and 2:00 pm,4/7/2015,4/13/2015
770409347,-8.93,1.53 PM,Between 10:00 am and 2:00 pm,4/30/2015,5/6/2015
165405093,-4.2,9.46 PM,Between 6:00 pm and 10:00 pm,6/28/2015,6/30/2015
687388639,-1.01,4.1 PM,Between 10:00 am and 2:00 pm,4/7/2015,4/13/2015
70350665,-3.4,9.45 PM,Between 2:00 pm and 6:00 pm,4/7/2015,4/9/2015
843715773,-9.44,9.22 PM,Between 10:00 am and 2:00 pm,4/5/2015,4/9/2015
338388448,-10.8,11.12 PM,Between 6:00 pm and 10:00 pm,5/19/2015,5/22/2015
841667448,-16.49,11.2 PM,Between 10:00 am and 2:00 pm,4/6/2015,4/10/2015
574158308,-31.28,8.48 AM,Between 6:00 pm and 10:00 pm,4/5/2015,4/8/2015
464149235,-4.2,9.55 AM,Between 2:00 pm and 6:00 pm,4/5/2015,4/8/2015
349398147,-7.49,12.25 PM,Between 10:00 am and 2:00 pm,4/5/2015,4/11/2015
968910045,-20.19,2.01 PM,Between 6:00 pm and 10:00 pm,4/5/2015,4/8/2015
760461897,-58.54,8.05 PM,Between 6:00 pm and 10:00 pm,4/5/2015,4/9/2015
945268705,-29.85,5.3 AM,Between 2:00 pm and 6:00 pm,4/12/2015,4/15/2015
886138262,-1.3,5.46 PM,Between 2:00 pm and 6:00 pm,4/6/2015,4/10/2015
187777073,-3.14,10.17 AM,Between 10:00 am and 2:00 pm,4/7/2015,4/9/2015
573320896,-10.99,10.29 AM,Between 2:00 pm and 6:00 pm,4/7/2015,4/8/2015
824312371,-25.02,11.27 AM,Between 2:00 pm and 6:00 pm,4/7/2015,4/10/2015
870089805,-14.24,12.53 PM,Between 10:00 am and 2:00 pm,4/7/2015,4/9/2015
263233938,-16.95,12.4 PM,Between 2:00 pm and 6:00 pm,4/7/2015,4/11/2015
115109684,-3.95,3.51 PM,Between 10:00 am and 2:00 pm,4/7/2015,4/11/2015
90597427,-15.05,6.39 PM,Between 10:00 am and 2:00 pm,4/7/2015,4/13/2015
498760304,-13.8,8.03 PM,Between 2:00 pm and 6:00 pm,4/7/2015,4/9/2015
461675539,-9.95,9.15 PM,Between 2:00 pm and 6:00 pm,4/7/2015,4/11/2015
603652582,-1.95,9.15 PM,Between 6:00 pm and 10:00 pm,4/7/2015,4/11/2015
679401794,    ,9.31 PM,Between 2:00 pm and 6:00 pm,4/7/2015,4/11/2015
910731984,-2.65,7.3 AM,Between 6:00 pm and 10:00 pm,4/8/2015,4/13/2015
474477379,-7.94,4.2 PM,Between 6:00 pm and 10:00 pm,4/26/2015,4/28/2015
409062013,    ,1.08 PM,Between 6:00 pm and 10:00 pm,4/8/2015,4/11/2015
944809452,-12.04,4.22 PM,Between 6:00 pm and 10:00 pm,4/8/2015,4/13/2015
861758190,    ,10.08 AM,Between 6:00 pm and 10:00 pm,4/9/2015,4/14/2015
203706526,-3.4,10.12 AM,Between 2:00 pm and 6:00 pm,4/9/2015,4/10/2015
179744959,-18.09,12.45 PM,Between 6:00 pm and 10:00 pm,4/9/2015,4/10/2015
226288178,-47.48,1.14 PM,Between 10:00 am and 2:00 pm,4/9/2015,4/12/2015
768921658,-0.88,9.37 AM,Between 10:00 am and 2:00 pm,4/29/2015,5/1/2015
512165509,-48.65,4.04 PM,Between 2:00 pm and 6:00 pm,4/9/2015,4/13/2015
513815199,-1.8,4.14 PM,Between 10:00 am and 2:00 pm,4/9/2015,4/14/2015
326499773,-1.9,4.41 PM,Between 10:00 am and 2:00 pm,4/9/2015,4/14/2015
309924445,-3.35,11.47 AM,Between 2:00 pm and 6:00 pm,4/23/2015,4/28/2015
376931311,-2.35,10.12 AM,Between 10:00 am and 2:00 pm,4/16/2015,4/17/2015
682359597,-7.5,7.05 AM,Between 2:00 pm and 6:00 pm,4/10/2015,4/11/2015
507974424,-18.64,1.37 PM,Between 10:00 am and 2:00 pm,6/26/2015,6/29/2015
854547377,-11.44,2.19 PM,Between 2:00 pm and 6:00 pm,4/10/2015,4/14/2015
194350118,    ,2.19 PM,Between 10:00 am and 2:00 pm,4/10/2015,4/14/2015
278206165,-3.4,12.26 AM,Between 2:00 pm and 6:00 pm,4/10/2015,4/11/2015
201879701,-16.34,12.52 AM,Between 6:00 pm and 10:00 pm,4/10/2015,4/13/2015
527101353,-9.99,11.26 AM,Between 6:00 pm and 10:00 pm,5/18/2015,5/20/2015
52902629,-0.7,9.16 AM,Between 10:00 am and 2:00 pm,5/4/2015,5/5/2015
383358884,-3.45,9.12 AM,Between 6:00 pm and 10:00 pm,4/10/2015,4/11/2015
196346969,-24.44,6.45 PM,Between 2:00 pm and 6:00 pm,5/19/2015,5/20/2015
376486821,-4.75,9.4 AM,Between 10:00 am and 2:00 pm,4/10/2015,4/17/2015
503947172,-29.54,12.11 PM,Between 10:00 am and 2:00 pm,4/10/2015,4/14/2015
945284143,-29.35,10.22 AM,Between 10:00 am and 2:00 pm,4/10/2015,4/16/2015
533224799,    ,9.54 AM,Between 6:00 pm and 10:00 pm,4/10/2015,4/14/2015
249763950,-46.61,11.49 PM,Between 10:00 am and 2:00 pm,5/13/2015,5/21/2015
875586528,-7.49,10.04 AM,Between 6:00 pm and 10:00 pm,4/10/2015,4/13/2015
459203760,-7.49,10.58 AM,Between 2:00 pm and 6:00 pm,4/10/2015,4/11/2015
260827843,-3.07,9.06 AM,Between 10:00 am and 2:00 pm,6/18/2015,6/22/2015
361563079,-8.78,2.36 PM,Between 10:00 am and 2:00 pm,4/30/2015,5/4/2015
997166073,-4.95,11.53 AM,Between 10:00 am and 2:00 pm,4/10/2015,4/14/2015
300947565,-9.7,1.3 PM,Between 6:00 pm and 10:00 pm,4/16/2015,4/18/2015
566070448,    ,8.51 AM,Between 10:00 am and 2:00 pm,4/13/2015,4/16/2015
985838535,    ,1.37 PM,Between 2:00 pm and 6:00 pm,4/10/2015,4/11/2015
42021012,-5.56,10.1 PM,Between 6:00 pm and 5:59 pm (next day),4/10/2015,4/13/2015
168879910,-8.14,11.09 PM,Between 6:00 pm and 10:00 pm,4/10/2015,4/13/2015
359598826,    ,6.05 PM,Between 10:00 am and 2:00 pm,4/11/2015,4/16/2015
674796910,-21.49,11.33 PM,Between 6:00 pm and 10:00 pm,4/11/2015,4/14/2015
253440174,-14.69,3.26 PM,Between 6:00 pm and 10:00 pm,4/12/2015,4/14/2015
429490899,-2.9,12.53 AM,Between 6:00 pm and 10:00 pm,4/12/2015,4/15/2015
955263697,-4.85,8.48 AM,Between 10:00 am and 2:00 pm,4/12/2015,4/15/2015
984176982,-16.44,9.08 AM,Between 6:00 pm and 10:00 pm,4/12/2015,4/14/2015
942005602,    ,10.08 AM,Between 10:00 am and 2:00 pm,4/12/2015,4/14/2015
981268772,-17.74,10.31 AM,Between 10:00 am and 2:00 pm,4/12/2015,4/18/2015
47842282,-21.51,10.58 AM,Between 6:00 pm and 10:00 pm,4/12/2015,4/14/2015
994162406,    ,11.19 AM,Between 2:00 pm and 6:00 pm,4/12/2015,4/15/2015
637933034,-3.45,12.24 PM,Between 10:00 am and 2:00 pm,4/12/2015,4/15/2015
922138839,-23.49,8.4 AM,Between 2:00 pm and 6:00 pm,4/13/2015,4/20/2015
356609968,-10.6,12.42 PM,Between 10:00 am and 2:00 pm,4/12/2015,4/18/2015
159910275,    ,1.21 PM,Between 10:00 am and 2:00 pm,4/12/2015,4/18/2015
183138542,-4.45,4.36 PM,Between 10:00 am and 2:00 pm,4/12/2015,4/15/2015
103028049,-10,5.51 PM,Between 10:00 am and 2:00 pm,4/12/2015,4/15/2015
911735906,-5.65,10.37 AM,Between 2:00 pm and 6:00 pm,4/16/2015,4/17/2015
168374623,-7,8.55 PM,Between 6:00 pm and 10:00 pm,4/12/2015,4/15/2015
428399498,    ,1.59 PM,Between 10:00 am and 2:00 pm,4/27/2015,4/29/2015
584209510,-8.39,12.55 PM,Between 2:00 pm and 6:00 pm,4/15/2015,4/17/2015
979345365,-8.65,12.4 AM,Between 6:00 pm and 10:00 pm,4/13/2015,4/18/2015
433962363,-33.15,12.52 AM,Between 6:00 pm and 10:00 pm,4/13/2015,4/14/2015
702748501,-7.49,8.39 AM,Between 10:00 am and 2:00 pm,4/13/2015,4/15/2015
126119381,-7.49,1.24 PM,Between 10:00 am and 2:00 pm,4/13/2015,4/18/2015
399147481,-12.19,10.13 AM,Between 10:00 am and 2:00 pm,4/13/2015,4/17/2015
767462407,-14.15,11.18 AM,Between 6:00 pm and 10:00 pm,4/13/2015,4/16/2015
874252252,-31.33,11.24 AM,Between 6:00 pm and 10:00 pm,4/13/2015,4/15/2015
257772093,-4.2,9.35 AM,Between 10:00 am and 2:00 pm,4/14/2015,4/16/2015
989585714,    ,1.43 PM,Between 6:00 pm and 10:00 pm,4/13/2015,4/16/2015
380585245,    ,2.35 PM,Between 6:00 pm and 10:00 pm,4/13/2015,4/15/2015
207535708,-40.59,2.45 PM,Between 6:00 pm and 10:00 pm,4/13/2015,4/15/2015
757121898,-13.44,3.26 PM,Between 10:00 am and 2:00 pm,4/13/2015,4/15/2015
292920704,-5.6,3.52 PM,Between 10:00 am and 2:00 pm,4/13/2015,4/16/2015
799942499,    ,3.28 PM,Between 2:00 pm and 6:00 pm,4/13/2015,4/20/2015
446039264,-55.25,4.4 PM,Between 2:00 pm and 6:00 pm,4/13/2015,4/17/2015
79417734,-2.7,3.25 PM,Between 10:00 am and 2:00 pm,4/13/2015,4/15/2015
646159248,    ,3.41 PM,Between 10:00 am and 2:00 pm,4/13/2015,4/16/2015
543161659,-4.74,3.45 PM,Between 10:00 am and 2:00 pm,4/13/2015,4/16/2015
548106199,-2.42,9.56 AM,Between 10:00 am and 2:00 pm,4/21/2015,4/22/2015
32702397,-4.8,4.25 PM,Between 10:00 am and 2:00 pm,4/13/2015,4/18/2015
793126750,    ,5.31 PM,Between 10:00 am and 2:00 pm,4/13/2015,4/16/2015
264839060,-84.85,8.42 PM,Between 2:00 pm and 6:00 pm,4/19/2015,4/24/2015
869720384,-1.15,6.25 PM,Between 2:00 pm and 6:00 pm,4/13/2015,4/15/2015
528623601,-20.54,7.44 PM,Between 10:00 am and 2:00 pm,4/13/2015,4/15/2015
812966072,-18.1,4.33 PM,Between 6:00 pm and 10:00 pm,4/10/2015,4/11/2015
610547907,-18.7,12.34 PM,Between 2:00 pm and 6:00 pm,7/1/2015,7/3/2015
37470256,-0.85,5.16 PM,Between 6:00 pm and 10:00 pm,4/5/2015,4/9/2015
842296939,-27.04,3.27 PM,Between 2:00 pm and 6:00 pm,5/27/2015,6/1/2015
199391442,-8.59,12:00 AM,Between 10:00 am and 2:00 pm,4/6/2015,4/9/2015
159712889,-7.5,6.1 PM,,4/6/2015,
549391943,-1.25,8.49 PM,Between 10:00 am and 2:00 pm,4/8/2015,4/11/2015
697709052,    ,9.18 PM,Between 10:00 am and 2:00 pm,4/6/2015,4/10/2015
161800393,-20.54,10.02 AM,Between 6:00 pm and 10:00 pm,4/7/2015,4/10/2015
